title,rating,qtd_votes,movie_url
Céu e Inferno,8.4,53K,https://www.imdb.com/title/tt0057565/?ref_=chttp_t_86
3 Idiotas,8.4,433K,https://www.imdb.com/title/tt1187043/?ref_=chttp_t_87
Cantando na Chuva,8.3,260K,https://www.imdb.com/title/tt0045152/?ref_=chttp_t_88
Cafarnaum,8.4,105K,https://www.imdb.com/title/tt8267604/?ref_=chttp_t_89
Réquiem para um Sonho,8.3,897K,https://www.imdb.com/title/tt0180093/?ref_=chttp_t_90
Vá e Veja,8.4,97K,https://www.imdb.com/title/tt0091251/?ref_=chttp_t_91
Oppenheimer,8.3,716K,https://www.imdb.com/title/tt15398776/?ref_=chttp_t_92
Toy Story 3,8.3,891K,https://www.imdb.com/title/tt0435761/?ref_=chttp_t_93
Star Wars: Episódio VI - O Retorno de Jedi,8.3,1.1M,https://www.imdb.com/title/tt0086190/?ref_=chttp_t_94
Brilho Eterno de uma Mente sem Lembranças,8.3,1.1M,https://www.imdb.com/title/tt0338013/?ref_=chttp_t_95
A Caça,8.3,364K,https://www.imdb.com/title/tt2106476/?ref_=chttp_t_96
2001: Uma Odisséia no Espaço,8.3,718K,https://www.imdb.com/title/tt0062622/?ref_=chttp_t_97
Cães de Aluguel,8.3,1.1M,https://www.imdb.com/title/tt0105236/?ref_=chttp_t_98
Viver,8.3,87K,https://www.imdb.com/title/tt0044741/?ref_=chttp_t_99
Lawrence da Arábia,8.3,314K,https://www.imdb.com/title/tt0056172/?ref_=chttp_t_100
Se Meu Apartamento Falasse,8.3,196K,https://www.imdb.com/title/tt0053604/?ref_=chttp_t_101
Intriga Internacional,8.3,346K,https://www.imdb.com/title/tt0053125/?ref_=chttp_t_102
Cidadão Kane,8.3,465K,https://www.imdb.com/title/tt0033467/?ref_=chttp_t_103
Incêndios,8.3,199K,https://www.imdb.com/title/tt1255953/?ref_=chttp_t_104
Um Corpo que Cai,8.3,426K,https://www.imdb.com/title/tt0052357/?ref_=chttp_t_105
"M, o Vampiro de Dusseldorf",8.3,168K,https://www.imdb.com/title/tt0022100/?ref_=chttp_t_106
Pacto de Sangue,8.3,167K,https://www.imdb.com/title/tt0036775/?ref_=chttp_t_107
Scarface,8.3,915K,https://www.imdb.com/title/tt0086250/?ref_=chttp_t_108
O Fabuloso Destino de Amélie Poulain,8.3,793K,https://www.imdb.com/title/tt0211915/?ref_=chttp_t_109
Nascido para Matar,8.3,789K,https://www.imdb.com/title/tt0093058/?ref_=chttp_t_110
Fogo Contra Fogo,8.3,718K,https://www.imdb.com/title/tt0113277/?ref_=chttp_t_111
Laranja Mecânica,8.3,880K,https://www.imdb.com/title/tt0066921/?ref_=chttp_t_112
